agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
El Dorado County Transit Authority,90229,Diamond Springs,El Dorado,El Dorado;Sacramento,http://www.eldoradotransit.com/,3.0,Marysville / Sacramento,True,True,5307;5310;5311;5339,18.0,18.0,https://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip
California Vanpool Authority,90230,Visalia,Tulare,Tulare,https://calvans.gov/,6.0,Fresno / Bakersfield,True,False,,736.0,736.0,
Solano County Transit,90232,Vallejo,Solano,Solano,http://www.soltrans.org/,4.0,Bay Area / Oakland,True,True,5307,,37.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=ST;https://soltrans.connexionz.net/rtt/public/resource/gtfs.zip
Marin County Transit District,90234,San Rafael,Marin,Marin,http://marintransit.org/,4.0,Bay Area / Oakland,True,True,5307;5310;5311;5320;5339,,72.0,https://api.511.org/transit/datafeeds?operator_id=MA;https://api.511.org/transit/datafeeds?operator_id=RG;https://marintransit.org/data/google_transit.zip
City of Lincoln,90235,Lincoln,Placer,Placer,https://www.placer.ca.gov/1768/Placer-County-Transit,3.0,Marysville / Sacramento,True,False,,,,
City of Delano,90238,Delano,Kern,Kern,http://www.cityofdelano.org/92/Delano-Area-Rapid-Transit-DART,6.0,Fresno / Bakersfield,True,True,5307;5339,9.0,9.0,https://data.trilliumtransit.com/gtfs/delano-ca-us/delano-ca-us.zip
Easy Lift Transportation,90243,Goleta,Santa Barbara,Santa Barbara,http://www.easylift.org/,5.0,San Luis Obispo / Santa Barbara,False,False,5310,28.0,28.0,
City of Agoura Hills,90246,Agoura Hills,Los Angeles,Los Angeles,https://www.agourahillscity.org/our-city/residents/transportation-services/alternative-transportation,7.0,Los Angeles / Ventura,True,False,,,2.0,
City of Alhambra,90247,Alhambra,Los Angeles,Los Angeles,https://www.cityofalhambra.org/293/Alhambra-Community-Transit-ACT,7.0,Los Angeles / Ventura,True,True,,,19.0,https://www.alhambraca.gov/DocumentCenter/View/6743/Alhambra-ACT-Bus-GTFS
City of Avalon,90249,Avalon,Los Angeles,Los Angeles,www.cityofavalon.com/202/Avalon-Transit,7.0,Los Angeles / Ventura,True,False,,,9.0,
